"Tweet_ID","Root_Tweet_ID","Teks_Root","Teks_Komentar","Kategori_Utama","Subkategori_Primer","Kategori_Sekunder","Annotation_Status","Annotator_1","Annotator_2","Adjudicated_Label","Label_Guide_Version"
"1794300357138583563","1794266936492306591","Jubir Prabowo Ungkap Alasan Ganti Makan Siang Gratis Jadi Makan Bergizi Gratis https://t.co/fEsC1KJRJx #TempoNasional","@tempodotco Makin siang gratis itu tiap hari, kalau makan bergizi gratis waktunya tdk jelas.","","","","","","","",""
"1794296674766200900","1794266936492306591","Jubir Prabowo Ungkap Alasan Ganti Makan Siang Gratis Jadi Makan Bergizi Gratis https://t.co/fEsC1KJRJx #TempoNasional","@tempodotco Omon omon aja","","","","","","","",""
"1794269468362977379","1794266936492306591","Jubir Prabowo Ungkap Alasan Ganti Makan Siang Gratis Jadi Makan Bergizi Gratis https://t.co/fEsC1KJRJx #TempoNasional","@tempodotco Inimah mukidi season 2, bikin kebijakan tanpa melibatkan otak 😮‍💨","","","","","","","",""
"1794271367455740372","1794266936492306591","Jubir Prabowo Ungkap Alasan Ganti Makan Siang Gratis Jadi Makan Bergizi Gratis https://t.co/fEsC1KJRJx #TempoNasional","@tempodotco Kebanyakan gizi tuh gemoy bet","","","","","","","",""
"1794337353550749910","1794266936492306591","Jubir Prabowo Ungkap Alasan Ganti Makan Siang Gratis Jadi Makan Bergizi Gratis https://t.co/fEsC1KJRJx #TempoNasional","@tempodotco Namanya juga lidah tdk bertulang, ujung-ujungnya nyicipin makanan gratis, omon...omon....etik...etik ndasmu!","","","","","","","",""
"1794344846356054378","1794266936492306591","Jubir Prabowo Ungkap Alasan Ganti Makan Siang Gratis Jadi Makan Bergizi Gratis https://t.co/fEsC1KJRJx #TempoNasional","@tempodotco siang artinya setiap hari","","","","","","","",""
"1794294416922001423","1794266936492306591","Jubir Prabowo Ungkap Alasan Ganti Makan Siang Gratis Jadi Makan Bergizi Gratis https://t.co/fEsC1KJRJx #TempoNasional","@tempodotco curiga ganti nama PMT (prmberian makan tambahan)yg selama ini sudah berjala untuk balita dan ibu hamil.","","","","","","","",""
"1794283546494054495","1794266936492306591","Jubir Prabowo Ungkap Alasan Ganti Makan Siang Gratis Jadi Makan Bergizi Gratis https://t.co/fEsC1KJRJx #TempoNasional","@tempodotco The devil is in the details...pikirkan detail-detail program (spt nama program, dll) sebelum dipakai utk membujuk para pemilih....","","","","","","","",""
"1794273431984468200","1794266936492306591","Jubir Prabowo Ungkap Alasan Ganti Makan Siang Gratis Jadi Makan Bergizi Gratis https://t.co/fEsC1KJRJx #TempoNasional","@tempodotco Wah...!!! Mayan tu.. berarti makan gratis bkn hanya siang aja.. pagi dan mlm juga mungkin ya..","","","","","","","",""
"1794277464820302224","1794266936492306591","Jubir Prabowo Ungkap Alasan Ganti Makan Siang Gratis Jadi Makan Bergizi Gratis https://t.co/fEsC1KJRJx #TempoNasional","@tempodotco Belum apa apa sdh ngelés duluan....oh my God.","","","","","","","",""
"1794289104143987090","1794266936492306591","Jubir Prabowo Ungkap Alasan Ganti Makan Siang Gratis Jadi Makan Bergizi Gratis https://t.co/fEsC1KJRJx #TempoNasional","@tempodotco Ujung ujung nya zooonk","","","","","","","",""
