slang,kata_baku,frekuensi
nuhun,terima kasih,1
nyakitin,menyakiti,1
nyariin,mencarikan,1
nyarinya,mencarinya,1
nyasar,tersesat,1
nyebrang,menyeberang,1
nyelesain,menyelesaikan,1
nyempil,menyempil,1
nyerocos,mencerocos,1
nyesal,menyesal,1
nyetir,menyetir,1
nyimpen,menyimpan,1
nyinyirin,mencibir,1
nyolot,membantah dengan kasar,1
oge,juga,1
okey,oke,1
omah,rumah,1
omdo,omong saja,1
onlen,daring,1
oom,om,1
orgtuanya,orang tuanya,1
ortuny,orang tuanya,1
oy,hai,1
pa2,apa-apa,1
paaak,pak,1
padahall,padahal,1
padet,padat,1
pagii,pagi,1
panas2,panas-panas,1
pantess,pantas,1
parahh,parah,1
pastii,pasti,1
pedes,pedas,1
peduliin,pedulikan,1
pegel,pegal,1
pemprov,pemerintah provinsi,1
perna,pernah,1
pgen,ingin,1
pinjem,pinjam,1
piro,berapa,1
pkoknya,pokoknya,1
pngn,ingin,1
pnjual,penjual,1
praktekin,mempraktikkan,1
pricelist,daftar harga,1
prlu,perlu,1
produktifitas,produktivitas,1
pulo,pulau,1
putera,putra,1
py,punya,1
qo,kok,1
qta,kita,1
rakor,rapat koordinasi,1
repot2,repot-repot,1
ributin,meributkan,1
robb,tuhan,1
sabarrr,sabar,1
saha,siapa,1
sampai2,sampai-sampai,1
sampein,sampaikan,1
sange,bergairah,1
santuy,santai,1
saos,saus,1
satpol,satuan polisi,1
saudara2,saudara-saudara,1
sbelah,sebelah,1
sbelum,sebelum,1
sbenernya,sebenarnya,1
sbuah,sebuah,1
scra,secara,1
sdri,sendiri,1
sedihh,sedih,1
sedulur,saudara,1
segerrrr,segar,1
segtu,sebegitu,1
sekalii,sekali,1
sekedarnya,sekadarnya,1
sekrang,sekarang,1
selese,selesai,1
semangatt,semangat,1
semuaa,semua,1
senengnya,senangnya,1
senyum2,senyum-senyum,1
seorg,seorang,1
sering2,sering-sering,1
setujuuu,setuju,1
sewain,sewakan,1
shalat,salat,1
sholat,salat,1
siapa2,siapa-siapa,1
siapaa,siapa,1
siih,sih,1
siihh,sih,1
silahkn,silakan,1
sisain,menyisakan,1
skli,sekali,1
slmat,selamat,1
sm2,sama-sama,1
smkin,semakin,1
smngat,semangat,1
sndr,sendiri,1
somay,siomay,1
spti,seperti,1
stelah,setelah,1
stidaknya,setidaknya,1
stju,setuju,1
sudh,sudah,1
sukur2,sukur-sukur,1
suroboyo,surabaya,1
sya,saya,1
syp,siapa,1
tambh,tambah,1
tanggungjawabnya,tanggung jawabnya,1
tangkep,tangkap,1
tanya2,tanya-tanya,1
tapii,tetapi,1
tauuuu,tahu,1
tdak,tidak,1
telfon,telepon,1
temenan,berteman,1
temenin,menemani,1
tempat2,tempat-tempat,1
terburu2,terburu-buru,1
terimaksih,terima kasih,1
ternyataa,ternyata,1
teuing,tidak tahu,1
thankyou,terima kasih,1
tingal,tinggal,1
tkut,takut,1
tlah,telah,1
tmbah,tambah,1
tmbh,tambah,1
tnggl,tanggal,1
tnp,tanpa,1
tnpa,tanpa,1
toloollll,tolol,1
trlihat,terlihat,1
trmasuk,termasuk,1
trutama,terutama,1
tuhhh,itu,1
tul,betul,1
tunjukan,tunjukkan,1
tuo,tua,1
tyda,tidak,1
udah2,sudah-sudah,1
uga,juga,1
ustadz,ustaz,1
vibe,suasana,1
waduhhh,waduh,1
waduuuuh,waduh,1
wagub,wakil gubernur,1
wahhh,wah,1
wihhh,wih,1
wkkw,hahaha,1
wkkwkw,hahaha,1
wkwkwkwkw,hahaha,1
wowww,wow,1
wowwwww,wow,1
wqwq,hahaha,1
wrna,warna,1
yaahh,ya,1
yallah,ya allah,1
yank,sayang,1
yaoloh,ya allah,1
yapp,ya,1
yaudh,ya sudah,1
yeay,hore,1
yeh,ya,1
yekan,ya kan,1
yep,ya,1
yess,iya,1
yesss,iya,1
yey,hore,1
yowes,ya sudah,1
yq,yang,1
ysh,ya,1
